photo_id,label
vDEzOHKSOzGoA2Es7FuI_Q,outside
h3Yu055wITTBxDyn_9OJ7g,drink
SXUVCpXnFVOAupFAknNR_w,inside
SaflOiQyfFSdTTGNDGzw4Q,drink
kukOAeWgmWV4rZtryqBZzA,drink
k6WjLkXlxnC7RnIfKblfPw,inside
Sr0JxwiMPoe4R4EFOJnyng,drink
z_mlHjCTb6QcxDKfi_KlQA,inside
GgIQBGpdzws0nkCtr_1N2g,inside
P68yeWeawJ7gaA9pHjjbLQ,inside
2k7k9qWn4SqcYRqR0y5LTg,outside
tNoeYj4o4z2d_GH11J3Iog,inside
_vdDhVN0VisXfMcmk9D7CA,inside
mEdpVS1N5sZSv7F0CvUSRA,inside
IR7Vt0SHCPaK3CYRQ_jPAA,inside
LVw3qUUTHyydXXormcMFyg,inside
Db4BDY3gtN4qIRjWl5jGfA,inside
3gPlYVIwsWp2C3QeOOxDXQ,inside
icorSHaEyLMh4-DdG7Rxjg,outside
GhiQq4uuSeaWOYu01xd-CQ,outside
lVTtZjLkUQA_fRhAbEg6Sw,inside
JyVbIJZlc3MDyr9dK3iWoQ,inside
cK9u43pwiAe6DuKeeYwrEw,outside
2OJ7TVnEHJpVXh8t30Amaw,menu
Nc8_7wTU_MaOXBxozpLo-w,drink
76tE_h0nSC8CQAdtEN-bqg,outside
_Jt_wozLDQTTP5mevwQemQ,inside
Xq6wuDh4R9DtNDzBadIxcQ,inside
ELj-Gw7g7QFvKI-014wNkw,inside
sw0XAlQI0iq7vx1SDS8CqQ,outside
GNkeUZSxtGCN_xNQ6Q1k3w,inside
6XXc5h3BgRKGfFMTRoVd7g,outside
RTKEV8C7ytuX1-jw76vUkw,inside
6CyRJH3CSWQ5GCgjUyh3Gw,inside
BD8D9iBQvyHcen7xnSwK5Q,inside
fNnVCubzKjj7KfRCO6JqTA,inside
FuQESUrkA8lokw9bGZnOHA,outside
f5aT2DsCG8xwmvZo6QGB6Q,inside
aHfF4gL-Y5PdLYJvEOiyNQ,drink
mcVrK_KqWz01Rufz2vKeNg,outside
2EJIQeb2LWdGh6FRZNi-DQ,inside
Mb6EutwzwdULNoCMVCjHnA,drink
VRNaXeSseoNt5pMIS3QeQg,inside
vIDrusi5gyixT4qaEp50aw,inside
Vpizj21FbD5XSZ9dBJaIlw,inside
sojIe7C75WQdmjgOGxFBQQ,drink
x2_bpz24I2oLPW-Xq6vLlA,drink
Ui7PeKDa1kOre5fglw-23Q,outside
fI0BogLgqLx-H3oPXJHjYQ,outside
CkRLeIp5_v09-z_0rXHyUA,inside
xVugE8ANPEbpU-piqw4khg,inside
QNtmbRPCTwEBCK_gclajPg,inside
BXFUuOuRhwaYvf7I3wtGKA,drink
Rl9SVftT9w49hVIhBez5cg,inside
2CNCTDVe4LSBAHv3nbAX-g,inside
BIS7Av9Qy-Setm37rg8rOQ,inside
s2KtQF6mxJdF5iqVQcWwWw,inside
IXXhbLtlAvS_-4lb9VQVwQ,menu
K6pK16ZVmZxGcMvTMt5S0w,drink
q3c-4pDurcapkz-sJ4CyRA,inside
kbY1FkTZTdtbwSxEkCmbyw,inside
fSWQRUToj8eIW_lTXLgexQ,inside
L9Gn6QUo35Da3045i8KK3Q,outside
7XNKevS33B4dnbmOpgtW6A,drink
iS2dvXtPrGbw8FNa-4GKyg,inside
_6Jjg4Y3aDUWTCNThxFJ3Q,inside
5RVNGIwoIy7Bu1NWZXOG6w,outside
3W8qSp35z581nf5s76olUw,drink
qu5dl1gKdjyq2uVK_FAy3w,outside
CAK8_W2yWrCvhHkU09hClw,outside
vOzzzVElsMtRYhIMCzSPkw,drink
bO2rq6tWpj2jH6mcb5fVuA,inside
gBoP_5OqOC_yrNBNi-a7NQ,inside
NPcpfTRS9D8DHYobFitghg,outside
f7QS6w5pK07itUOVJXuHDg,inside
cBpe3Mi5-mS6HO1H8vIXqg,inside
rK78RAVIPE0T-iGdg56agg,inside
BYCxqHjmL_eW0ogDri8CBQ,inside
WVXGzByXEDnQ8DcBWQq5qg,inside
d4KTyrlPJOIilheUume1bA,inside
jh9mRV15gLE8hvefGFpdqw,inside
5OxpJKHdy9IBRwmi97aPRA,inside
jNeM3PHLD6Cb65UVpcpyFQ,drink
6aCKY5AEFwZxl3tzjWWVwg,outside
hbS_1Tz6RRx9lL6VE4Stng,inside
FDIpNjXdmYaG9G71jnF6aA,inside
w5wmOIdHkXLBedMWPwNsPw,inside
wxmbemiUZ6I-TNoTU3MLwA,inside
ZpgqSsEg2x76gZTyabENeQ,inside
sv96Xdb5-bwQRbemj6VKZg,outside
cgcLG6AoCP5VtpjqDOovbg,inside
GghZ4lL9oUaGpYjQUGMRkQ,outside
8nWRUY02n5xEcJlNUPjavA,inside
CEnV_-fa_j6JfJUmuA_mmg,inside
ZYdhRckO9jgpmG_Sd9mUTw,inside
UwFFcGuTkTy3InlfdLrpSA,inside
GZA1S0K3Gy3X_lyj_JJeoQ,inside
eTJFe6-dQS5iT6q1-xLRmA,inside
O6dDwLDhVQZv3uLUY_gZcA,drink
XT3kOIV8A5A6M7te76V4RA,inside
N4ymEPBH1SHUYOSmwBUXCg,inside
GdfDmbKnd-vg3H3A70rDHw,drink
yJJYq1Pqyk3RhcnkDLB37g,drink
i_6XDaeMcutC1gbjqQ9ayQ,drink
KsElYBREO1k5a_qnzZCx4g,inside
2v3wLBysAKYJsKM8nWC1_w,inside
YGOg1SIeFDrRc9UQ9xNJzw,inside
tqaw8svJn1cxSFxxi0qCrA,inside
b3NGUHzvp-n2y0rJJGC6Pg,drink
9sp03yBXfuIYgWEYyJvBbA,inside
qZWKOZNJIId5Y8nlFXMkTg,inside
MJECpBa79R8RUB0derx00g,inside
Fv4jr4itfAgr3cgmQy4dFw,inside
Yyua3LYq7afJuh04gzYqYw,outside
xQaeY-NKOAQfcFR9LUK2Rg,outside
TS3HMyakIK64ErfHPZoICw,inside
OU0p9ErRDhLY8napp6ZdHg,drink
LlpNJpfall7cBbRBYugMOw,inside
XK_9jKiFndP35_a9N7wY3A,outside
Fx2StcCAqC_fh5scXKUrRQ,inside
MoligP-JjWn-i1KwC4zVzQ,outside
t4jdQYytOsA31Dxj0a7YNA,inside
8T0gmGkulME4lF8Vt_SxTw,inside
t4mdTrXXGaUSo_j7XOXrrw,inside
HGkZGjyMYo0PpAE4NApveg,inside
bzhwG4ewzP6lpjY-L6UB1Q,inside
3b9eY85ilfNHFuGqOtj0zA,inside
pKZSCc0yYkYPAeHFeqT-Tg,inside
q-IitfUPyrcCrTU2ex61qg,menu
JmhhepOsBvf-otxGkZm30Q,inside
OC4BKHsFV2c4RjKwXnIWYg,inside
Mff16fa8EfAyepHdS3QZ2w,outside
vlF2ft72QBmkSghh3Bs9sg,outside
URyA2ofIHDTqkwiAlLBMqg,inside
Ocl2TGBZP2cP_xHE01A05A,inside
QQggboHnfyglgn_rnxeyKA,outside
Z3yppHhaV9071D5Fe6BkhA,outside
K-G_dvmPlX8M3f_tPrSE7A,inside
oUzUAU_CM84mZQC7k68Zyw,inside
ijz_QmioplEeO4iW8t7_lA,inside
AbRtbwILqIqEUEptwDWMqQ,inside
PFAU9-5FW3rJ8-r3ov-qdw,drink
LzAVOLOIVN8E6GMtAyWj1w,outside
oERPx5tcy-aZqCUv0Q17WA,inside
UyfyLwcD_ox5caPRpL93gg,drink
zmMN6WUDz7sntUPt1GZ9uQ,drink
Dylw1eBg6-k-1Stocv4AbA,inside
Sbl3CWFoelzlij0hag-Fng,inside
EA6oe2j543NNfUB8duNfEg,inside
hZGS1ZExQjN6Rqk8M6TIeQ,inside
nhhr2kEGv9S7B9G5-iD0jQ,menu
ULEfAfDAA2aaJvg-_14DOw,outside
dwzQP3Ghw4N7e37ls3Ia6A,outside
YUAW-g5cN_hxlS_QkU4xrg,inside
SqRZJg5wbxNUxHhEb7C7ww,inside
wjPnl12bx0Nf4SvJa_K7yQ,menu
5nxZ77tqLPNrv1O6hLjVaA,inside
JB0W-sx_ro86K2YU7Yw7Ng,outside
t663OWbVpwAsxDV7ry2Y_g,inside
aANlFHFo96Y8G0H_exdSDQ,inside
ig_oR9QGAfPimCO4xA5toQ,inside
Z9meEeDwCDtKne2nfpIlRg,inside
D2AMrJGiQTVbhXpWuUrUiw,outside
B_pT0P4gtpWCmx1awXdtyQ,inside
S6yLJttbiHil3xLoISTc6Q,drink
Pvn_dWQgvqW64WHfoemRPA,drink
nMgnQjD24oqbLoGR0VkU9Q,drink
rVcT4KcHttWYLWKEnwINyw,drink
SXtZ5TrzmlOE1mTyGRZjFA,drink
nwA2Jpy5kJwtI03tQjfAIw,outside
YAmuB2qlAAPiazZz_TkvcA,outside
QnuasfNZd19sENn-E8rApw,menu
o7kpJ32RZhGMx99mZK0Skw,inside
KiPOF8HyZg713a8j6ZFtKA,inside
7pMPBdBFcHgZlDvL-wYSzg,inside
nUxKEZoCsUnEtQME4k1wVg,inside
d9QGLioLaDbEE09W-pPKsA,inside
2oZ6AuIgKoFHd1flEmPBpQ,inside
djoyClLWCAzsfNw_hAocPQ,drink
ybF1frkVpJ6-o56KlsBobA,inside
ySapoqI_jXMsBt-0IXYoqQ,drink
O-laS1-KEwLy4mMWRZcVhg,inside
oSmCEmyKKmpyrVjCmCXEKA,inside
qpbBgJ6KNKDkjBaVwVDYlA,inside
BySOsXWMxtzxIMarI87o5w,inside
mPca5muy3iNS3tlxfLYQ0g,inside
UcWRPAFNYoOUyhIBgEvC7w,inside
Au_gKKzcqbwMKX60D_UYOw,inside
spox9w33ix0WEcTjIzER2w,inside
gYrA8wFcZSit6BV_yeg_gQ,inside
bj2at7gQ6mTMdSFKHqeXxw,drink
aYflpf77MQZkM9fdcmGP2Q,inside
qcs2Dlzx0ZGnNegeL2_aDw,inside
RoOX8oUXg-m_tK4ma1Guag,inside
On2J8CoHEwyevkopwdGwzg,inside
5sEvwFRAPyLxX-QZiMSLCg,drink
P7A0DFrYm-n5k0Bq0vBK-Q,inside
Xek4NYk5ZY3sALV2QRXJSw,inside
GmA7Jo7xf7tI3t8PdCl6Xw,inside
Ly8nqab9I0iWkJN222odbQ,outside
yIvni74j6BaTOAxV6l6ISQ,inside
j3IvZnPE6UZwoQ2k2x_R5g,inside
iNZN_jyhW0q0apV1Ot5BAQ,inside
i0hONL7GolRmiOtyba9yVQ,inside
hjVhHvu17ghdHRj9ZUlDKQ,outside
tg0cY1ABY6fzo-h_9kBK6g,inside
bRanrogX8x97IJn9Wl-NRA,outside
zpdhuUnB-rw7rV9fAv_GxA,inside
BuvyHb-agvzanv7jparGQw,inside
Ez41aT0GKafgKcutUG9RUw,drink
YC9sDXec5eB6vdRAjfESzQ,outside
6HDKTavuxFjNEXisew2HIQ,outside
q7vcxlzdwLzDAIWieR8u6w,inside
uf0hW7q6GJn311EluJMmgw,inside
jol8xMUTQhdkyWYcdNXY2A,inside
OoW6MwreAj-5iX-4GY3Akw,drink
IXg3ahN6HZFcQjo2s7ypKw,inside
8OAYnDyxD-M8jBvp3sqSeA,inside
CQQMwhgqb-DHqlDkHHBCRg,inside
xW6z-fl1G-biKC1oocLDTQ,inside
EpPy2I8C5VC2__bAVzDf1A,outside
ILoP5G0nTKGrCh7igkUtyQ,outside
l-YNFZ2hbBVlcXu7rP88Tw,outside
