photo_id,business_id,caption,label
6LJa8QZOGBjt9maE5miLhw,368cyArdo0P0aDUOhhE4PA,Drive-thru menu,menu
T_QaBsquJlzAQd5bbCrLfA,jwpZzqoPFLuHE-FwLp41cQ,Courtyard at Bistro di Marino,outside
DtsfhqhqUB-tjs5XbwJfXw,s-74t4aQKL2pWeQmIB-c1Q,Vegan Options,menu
Iehiw_bcHnXw-pg0w2M06w,64jKdxGGwfHx4rutBBKWBQ,"New Keto Protein Punch! 15g protein, 3g of carbs , and you can add 1-2 energy shots to it!",drink
JClkivVTbSvCJAsdqtOa2g,ToqcYJVdnrp4fefaucm-Vg,,inside
ZBzCS8DIv_DZVCRDyeDScA,fgTOJRkc703E4XRdcr5zRA,Our signature Pearl Milk Tea!,drink
2zzoTlZsLka7MokP77MdUg,jziliEq8Zum-EynD5v-Hvg,,outside
VB75GlozO9ZzkhQC8mY6Ag,I-Kn6FzE4wqX4CF3dUa7cw,Currently providing takeout - so take advantage and keep them open for when we can dine in.,menu
K3f1dZcgviFUeb-veJMbHw,PJjkH_VZeQwxEJvlQ-v7wA,Done!,food
FGeQf8E6YGHDml-IPXuDFg,6_T2xzR74JqGCTPefAD8Tw,,drink
9n5RobGsibyp8IriSszsSQ,htx6Uime2SkiE-zC7hxb-g,,menu
cklpUVFnNF4WxE4yMCRyZw,swVdc9piXvG0AXwL-F0GfQ,Happy hour menu,menu
iwLhdwH-SwjjNKPdHyBDaQ,Mo09V4DcoZmhI4j7M_NCJw,,drink
OKR58HrRZueHsZFSWAT1Vw,2SS5SaG9mLzNUbWza4185g,Chicken Caesar Salad,food
4jKXAwBzfDPW-ffbvva6qw,DTkEBlD5NJc3Y9Mij63-qg,Tropical Green Smoothie,drink
7aIkflWPD9HzbYrojeIyBg,-tDmeO1Q5aqThVY3AFJJ7A,Neat decor,inside
UWJ-X3POebVRgDmj2NFMQw,KKmXDeg58qYJUMMiNma2pA,Can you tell I love chocolate?!,food
J4EiAF3iGXcWACaih1cZrQ,gzoNgJP5LjaFl3vkYCLJ_A,,drink
LRn53FRQcWMk0koGTcxS7A,2-vIWlqdrRsnhkOj2JS0jA,,menu
ukQY-rcV4bHTNXZFcq0I-w,EBonJ5tjkxBEUezwosVlLg,,menu
OVA_m9P1elG9FP-j-v147g,TPDnR26QPqU9sWanjd-ldg,,menu
cW09ZIfrQmYZPaipfft-Nw,v7dKKlpLH36GQTIX5qIReQ,new menu,menu
qDLrM18BOQXJpoAvIdbWbw,05GLPgaqx5y4H9dBU6CP2w,Potstickers,food
QKUbHTKLmeVnI9wWxIsxrQ,zrUAjvPlH22dnvNtxRuiBg,The best Avocado Egg Rolls I've ever had!!!,food
89UqPynIentKK2pQeS3T8w,k1-3XZUKemdtDPeej9KI7A,,inside
_HVzAzWx5kDmJlxl5UpTEw,luv3Y2AjoOhxYRY_u5tRJA,Salmon Salad upstairs in the bistro,food
m-3O8ULMBVWvek8Mnb6f3w,pp1WQCg_2nr7Ght84qSSyw,,drink
XD2voDB1f9JMYSfohEqNyQ,A-_GjL5P2ry5OD6WgjhDPA,"Session IPA, Bit of a surprise, with some interesting and unique flavors :-)",drink
5WipdHBm0_pyGfhkdfS9dw,bcfXCWaYxIN4UoV_94ksLQ,In business for over 50 years,outside
3c5x3U5yWPEM6UPGMm8I6Q,0qu0fNTOsSmuREYVIMPuIQ,,outside
3touZfueOourbvgtkHZe8Q,qTB1_ultxP2Jujb3nK-lww,The Anniversary Imperial Chocolate Cake Stout,drink
JY6hZBHzvbqJ5HJcK9oBAQ,_EKvNMC2Mm67HzqNIzLgXg,,menu
FxHlO6nI6VsnEot8Fu_HwA,Ibo4E5a_nf51egmeFR5Izg,,inside
kX4trYNaiRxsFJcEDY0g4w,ac1AeYqs8Z4_e2X5M3if2A,Dining area,outside
CWiv3PsahtkkJkrOI7lHyg,dinxDxiWFUkEpxpIzaGHMQ,Menus,menu
gUlJhjms3KfkYMdatHs-yQ,UGefDZNmnBztS0eoXWtHyQ,Great dining on the patio,inside
in21iY-zOmHERKxIH4L7DQ,rDk_O0KRIqEYvoBhonLmjA,,drink
M2TtrWxT7v2daa6WmkE9-A,skY6r8WAkYqpV7_TxNm23w,Of course the one and only our friend Johnny  awww with my Togo food mmmm,inside
iTetfVP3NobIqmrjFF0f5Q,v77_hh7gsbpSpjlzSKeq5w,BABES at One Eyed Jacks,outside
Uj0NBAfNYyhBSk0fjGJeRw,ZabkbBzscq6GJNtsYZZwrg,Seafood Special,food
etb7p3ZwnWlO64G3O4KESg,LImOqXSWUq-E_eNZhTUzmQ,Mojito,drink
CFD24bPmJUxLnw3oiG1j0w,KXecZki-_3N7afs6HKWM3A,Short Rib Rice Bowl - lunch menu! Amazing!,food
hM4VhnNTesa_VADT_2ogVA,VeJqScDLsoA5WasQSv_Jfw,,drink
rpYmvv8Dt-D3qWuzV-vpEQ,MSHk4H_8PvNEgwfAtGYEDQ,,inside
