photo_id,path_files,label
S8GGVdfZ4x7EC7Uu3D8tRg,photos\S8GGVdfZ4x7EC7Uu3D8tRg.jpg,food
vDEzOHKSOzGoA2Es7FuI_Q,photos\vDEzOHKSOzGoA2Es7FuI_Q.jpg,outside
W2K6GEnYQ47swXtD9mGXIw,photos\W2K6GEnYQ47swXtD9mGXIw.jpg,food
4PaLW-hYL3B0YcMXinVEJQ,photos\4PaLW-hYL3B0YcMXinVEJQ.jpg,food
sp4X99fGWj3luy1DXY2XIw,photos\sp4X99fGWj3luy1DXY2XIw.jpg,food
noco3Jf-afA1tqGEixkCcw,photos\noco3Jf-afA1tqGEixkCcw.jpg,food
aPbvuzElx227xE49SDN9jA,photos\aPbvuzElx227xE49SDN9jA.jpg,food
9CNNv0X3qdJtgxObx08ogg,photos\9CNNv0X3qdJtgxObx08ogg.jpg,food
h3Yu055wITTBxDyn_9OJ7g,photos\h3Yu055wITTBxDyn_9OJ7g.jpg,drink
SXUVCpXnFVOAupFAknNR_w,photos\SXUVCpXnFVOAupFAknNR_w.jpg,inside
aFmmWpLA-iFlZ-kECj0xow,photos\aFmmWpLA-iFlZ-kECj0xow.jpg,food
MIrJduMhHlXMqIob3fy6kA,photos\MIrJduMhHlXMqIob3fy6kA.jpg,food
SaflOiQyfFSdTTGNDGzw4Q,photos\SaflOiQyfFSdTTGNDGzw4Q.jpg,drink
qMw3Br6BK1-rD9DItQJfKg,photos\qMw3Br6BK1-rD9DItQJfKg.jpg,food
M9cdFV8spMoLgwZpsUKmZg,photos\M9cdFV8spMoLgwZpsUKmZg.jpg,food
pfEGbD01R-jyiLGWvR9B3A,photos\pfEGbD01R-jyiLGWvR9B3A.jpg,food
D6dfJi-7DtScF85Drs9UTA,photos\D6dfJi-7DtScF85Drs9UTA.jpg,food
KrKQ-kGVblxoN7yKq1_bJQ,photos\KrKQ-kGVblxoN7yKq1_bJQ.jpg,food
kukOAeWgmWV4rZtryqBZzA,photos\kukOAeWgmWV4rZtryqBZzA.jpg,drink
6U7qlpLAMoTE0tb_5qAIzA,photos\6U7qlpLAMoTE0tb_5qAIzA.jpg,food
k6WjLkXlxnC7RnIfKblfPw,photos\k6WjLkXlxnC7RnIfKblfPw.jpg,inside
Sr0JxwiMPoe4R4EFOJnyng,photos\Sr0JxwiMPoe4R4EFOJnyng.jpg,drink
S9m_dO-6ENo4vMqdxCw2Fg,photos\S9m_dO-6ENo4vMqdxCw2Fg.jpg,food
h9sxdutVvpUg06D2iGN6CA,photos\h9sxdutVvpUg06D2iGN6CA.jpg,food
z_mlHjCTb6QcxDKfi_KlQA,photos\z_mlHjCTb6QcxDKfi_KlQA.jpg,inside
GgIQBGpdzws0nkCtr_1N2g,photos\GgIQBGpdzws0nkCtr_1N2g.jpg,inside
FDcPF7ML34X9mm5-QPiGkg,photos\FDcPF7ML34X9mm5-QPiGkg.jpg,food
3g7pf-6sf90gLFDbR0C1Xg,photos\3g7pf-6sf90gLFDbR0C1Xg.jpg,food
B0_Po8ctdKAbVETiFJHHaw,photos\B0_Po8ctdKAbVETiFJHHaw.jpg,food
